ats_id,year,offers_hosted_pool,subscriber_opt_out_capability,internal_trading_allowed,affiliate_access_to_ats,routing_to_affiliate_venue,segmentation_supported,segmentation_customer_flag,segmentation_disclosed,segmentation_uniform,market_data_feed_available,display_to_persons,display_procedures_uniform,supports_iois,custom_order_types,ecn_status,order_type_complexity,trading_access_summary,data_segmentation_practices,custom_order_types_list,unrecognised_custom_orders
BIDS,2020,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5,ATS operator’s business units are not allowed to trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,"The BIDS ATS does not segment Firm orders or Conditionals by type of Participant. It does, however, provide Traders and Participants with certain tools and order attributes to permit a Participant (or an individual Trader) to limit the interaction of its Firm orders and Conditionals with qualifying contra-party Firm orders and Conditionals. Please refer to Part III, Items 7 and 9 for a discussion …","ADDITIONAL, AIOI, ALL, ARE, ATS, EXPLICIT, III., IV., MINIMUM, POST-ONLY, SAME, SLIDING, SWEEP, THIS, conditional, conditional, limit, market, market_peg, midpoint, post_only, primary_peg","SAME, EXPLICIT, ATS, III., ALL, POST-ONLY, SLIDING, SWEEP, IV., THIS, AIOI, ADDITIONAL, MINIMUM, ARE"
BIDS,2021,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5,ATS operator’s business units are not allowed to trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,"The BIDS ATS does not segment Firm orders or Conditionals by type of Participant. It does, however, provide Traders and Participants with certain tools and order attributes to permit a Participant (or an individual Trader) to limit the interaction of its Firm orders and Conditionals with qualifying contra-party Firm orders and Conditionals. Please refer to Part III, Items 7 and 9 for a discussion …","ADDITIONAL, AIOI, ALL, ARE, ATS, EXPLICIT, III., IV., MINIMUM, POST-ONLY, SAME, SLIDING, SWEEP, THIS, conditional, conditional, limit, market, market_peg, midpoint, post_only, primary_peg","SAME, EXPLICIT, ATS, III., ALL, POST-ONLY, SLIDING, SWEEP, IV., THIS, AIOI, ADDITIONAL, MINIMUM, ARE"
BIDS,2022,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5,ATS operator’s business units are not allowed to trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,"The BIDS ATS does not segment Firm orders or Conditionals by type of Participant. It does, however, provide Traders and Participants with certain tools and order attributes to permit a Participant (or an individual Trader) to limit the interaction of its Firm orders and Conditionals with qualifying contra-party Firm orders and Conditionals. Please refer to Part III, Items 7 and 9 for a discussion …","ADDITIONAL, AIOI, ALL, ARE, ATS, EXPLICIT, III., IV., MINIMUM, POST-ONLY, SAME, SLIDING, SWEEP, THIS, conditional, conditional, limit, market, market_peg, midpoint, post_only, primary_peg","SAME, EXPLICIT, ATS, III., ALL, POST-ONLY, SLIDING, SWEEP, IV., THIS, AIOI, ADDITIONAL, MINIMUM, ARE"
BIDS,2023,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5,ATS operator’s business units are not allowed to trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,"The BIDS ATS does not segment Firm orders or Conditionals by type of Participant. It does, however, provide Traders and Participants with certain tools and order attributes to permit a Participant (or an individual Trader) to limit the interaction of its Firm orders and Conditionals with qualifying contra-party Firm orders and Conditionals. Please refer to Part III, Items 7 and 9 for a discussion …","ADDITIONAL, AIOI, ALL, ARE, ATS, EXPLICIT, III., IV., MINIMUM, POST-ONLY, SAME, SLIDING, SWEEP, THIS, conditional, conditional, limit, market, market_peg, midpoint, post_only, primary_peg","SAME, EXPLICIT, ATS, III., ALL, POST-ONLY, SLIDING, SWEEP, IV., THIS, AIOI, ADDITIONAL, MINIMUM, ARE"
BIDS,2024,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5,ATS operator’s business units can trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,"The BIDS ATS does not segment Firm orders or Conditionals by type of Participant. It does, however, provide Traders and Participants with certain tools and order attributes to permit a Participant (or an individual Trader) to limit the interaction of its Firm orders and Conditionals with qualifying contra-party Firm orders and Conditionals. Please refer to Part III, Items 7 and 9 for a discussion …","ADDITIONAL, AIOI, ALL, ARE, ATS, EXPLICIT, III., IV., MINIMUM, POST-ONLY, SAME, SLIDING, SWEEP, THIS, conditional, conditional, limit, market, market_peg, midpoint, post_only, primary_peg","SAME, EXPLICIT, ATS, III., ALL, POST-ONLY, SLIDING, SWEEP, IV., THIS, AIOI, ADDITIONAL, MINIMUM, ARE"
BIDS,2025,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5,ATS operator’s business units can trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,"The BIDS ATS does not segment Firm orders or Conditionals by type of Participant. It does, however, provide Traders and Participants with certain tools and order attributes to permit a Participant (or an individual Trader) to limit the interaction of its Firm orders and Conditionals with qualifying contra-party Firm orders and Conditionals. Please refer to Part III, Items 7 and 9 for a discussion …","ADDITIONAL, AIOI, ALL, ARE, ATS, EXPLICIT, III., IV., MINIMUM, POST-ONLY, SAME, SLIDING, SWEEP, THIS, conditional, conditional, limit, market, market_peg, midpoint, post_only, primary_peg","SAME, EXPLICIT, ATS, III., ALL, POST-ONLY, SLIDING, SWEEP, IV., THIS, AIOI, ADDITIONAL, MINIMUM, ARE"
EBXL,2020,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0,0.0,2,ATS operator’s business units are not allowed to trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,"eBX groups all subscribers into one or more of the following groups (the ""Predetermined Counterparty Groups"").  Subscribers are grouped at the MPID level.  As such, a subscriber with multiple MPIDs may be included in multiple Predetermined Counterparty Groups, but each individual MPID will only be included in a single Predetermined Counterparty Group.  Predetermined Counterparty Groups include sub…","ABC, ALL, ALO, ANY, CONDITIONAL-ONLY, CONTRASIDE, DESIGNATE, FIRM-UP, FLOW., GIVEN, III., IOC, IV., POST-ONLY, PRICE., QUANTITY, RESTING, SHARE, SHARE., SIZE, SLIDING, WITH, conditional, conditional, post_only, post_only, post_only","SHARE, IOC, WITH, RESTING, CONTRASIDE, IV., QUANTITY, SLIDING, PRICE., ANY, CONDITIONAL-ONLY, SHARE., FIRM-UP, SIZE, III., ABC, GIVEN, ALL, POST-ONLY, DESIGNATE, FLOW., ALO"
EBXL,2021,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,0.0,3,ATS operator’s business units are not allowed to trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,"eBX groups all subscribers into one or more of the following groups (the ""Predetermined Counterparty Groups""). Subscribers are grouped at the MPID level. As such, a subscriber with multiple MPIDs may be included in multiple Predetermined Counterparty Groups, but each individual MPID will only be included in a single Predetermined Counterparty Group. Predetermined Counterparty Groups include subscr…","ABC, ALL, ALO, ANY, BLOCK, CONDITIONAL-ONLY, CONTRASIDE, DESIGNATE, FIRM-UP, GIVEN, III., IOC, IV., POST-ONLY, PRICE., QUANTITY, RESPONSE., RESTING, SHARE, SHARE., SIZE, SLICED, SLIDING, WITH, conditional, conditional, post_only, post_only, post_only, vwap","SHARE, IOC, WITH, RESTING, CONTRASIDE, IV., QUANTITY, SLIDING, PRICE., BLOCK, ANY, CONDITIONAL-ONLY, SLICED, SHARE., FIRM-UP, SIZE, III., ABC, GIVEN, ALL, POST-ONLY, RESPONSE., DESIGNATE, ALO"
EBXL,2022,0,,,,,,,,,0,,,,0,,0,,No narrative provided,,None
INCR,2020,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,0.0,1,0.0,2,ATS operator’s business units are not allowed to trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,No narrative provided,"ACCEPT, ALL, ALO, ARE, ATS., BAND., CANCELLATION, DESIGNATE, DISCRETE, DISPLAY, GIVEN, III., INCOMING, INSTRUCTIONS., IOC, IV., MARKETABLE, NON-DISPLAY, OCCURS., ONLY, OPEN, POST-ONLY, PRE-MARKET, PROCESSES., REMAINING, SLIDING, THAT, TIME-IN-FORCE, displayed, limit, market, post_only, post_only, post_only, primary_peg","DISCRETE, REMAINING, ONLY, IOC, INCOMING, ATS., PROCESSES., BAND., TIME-IN-FORCE, NON-DISPLAY, IV., PRE-MARKET, MARKETABLE, SLIDING, ACCEPT, OPEN, CANCELLATION, DISPLAY, III., GIVEN, THAT, ALL, POST-ONLY, INSTRUCTIONS., DESIGNATE, OCCURS., ALO, ARE"
INCR,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2,ATS operator’s business units are not allowed to trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,No narrative provided,"ACCEPT, ALL, ALO, ARE, ATS., BAND., CANCELLATION, CONDITIONAL, DESIGNATE, DISCRETE, DISPLAY, GIVEN, III., INCLUDING, INCOMING, INSTRUCTIONS., IOC, IV., MARKETABLE, MATCH, NON-DISPLAY, OCCURS., ONLY, OPEN, POST-ONLY, PRE-MARKET, PROCESSES., REMAINING, SEQUENTIAL, SLIDING, THAT, TIME-IN-FORCE, displayed, limit, market, post_only, post_only, post_only, primary_peg","CONDITIONAL, DISCRETE, REMAINING, ONLY, IOC, INCOMING, ATS., PROCESSES., BAND., TIME-IN-FORCE, NON-DISPLAY, IV., PRE-MARKET, MATCH, MARKETABLE, SLIDING, ACCEPT, OPEN, CANCELLATION, DISPLAY, III., GIVEN, THAT, ALL, POST-ONLY, INCLUDING, INSTRUCTIONS., DESIGNATE, OCCURS., ALO, ARE, SEQUENTIAL"
INCR,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2,ATS operator’s business units are not allowed to trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,No narrative provided,"ACCEPT, ALL, ALO, ARE, ATS., BAND., CANCELLATION, CONDITIONAL, DESIGNATE, DISCRETE, DISPLAY, GIVEN, III., INCLUDING, INCOMING, INSTRUCTIONS., IOC, IV., MARKETABLE, MATCH, NON-DISPLAY, OCCURS., ONLY, OPEN, POST-ONLY, PRE-MARKET, PROCESSES., REMAINING, SEQUENTIAL, SLIDING, THAT, TIME-IN-FORCE, displayed, limit, market, post_only, post_only, post_only, primary_peg","CONDITIONAL, DISCRETE, REMAINING, ONLY, IOC, INCOMING, ATS., PROCESSES., BAND., TIME-IN-FORCE, NON-DISPLAY, IV., PRE-MARKET, MATCH, MARKETABLE, SLIDING, ACCEPT, OPEN, CANCELLATION, DISPLAY, III., GIVEN, THAT, ALL, POST-ONLY, INCLUDING, INSTRUCTIONS., DESIGNATE, OCCURS., ALO, ARE, SEQUENTIAL"
INCR,2025,1,0.0,1.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,5,ATS operator’s business units can trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,No narrative provided,"ACCEPT, ALL, ALO, ANY, ARE, ASPEN., BOOK., CANCELLATION, CORRECTED., CRITERIA., DESIGNATE, EXPECTED, GIVEN, III., INCOMING, IOC, IOI, IV., MARKETABLE, MATCH, MATCHES, MAXIMUM, MINIMUM, MORE, OCCURS., ONLY, OPEN, OPPOSING, POOL, POST-ONLY, REMAINING, SEQUENTIAL, SINGLE, SLIDING, THAT, THOSE, TIME, TWO, WITH, conditional, conditional, displayed, limit, market, midpoint, post_only, post_only, post_only, primary_peg, vwap","TWO, REMAINING, ONLY, MATCHES, IOC, INCOMING, ASPEN., WITH, MAXIMUM, IOI, SINGLE, OPPOSING, MORE, IV., MATCH, CRITERIA., CORRECTED., MARKETABLE, POOL, BOOK., SLIDING, ANY, ACCEPT, OPEN, CANCELLATION, III., GIVEN, EXPECTED, ALL, POST-ONLY, THAT, THOSE, DESIGNATE, OCCURS., ALO, TIME, MINIMUM, ARE, SEQUENTIAL"
ITGP,2020,0,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,0,0.0,5,ATS operator’s business units can trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,No narrative provided,"ACCEPTS, AGAINST, AGGREGATE, BELOW, DEFAULT, III., IN-BOUND, IOC, IV., LOCKED., MARKET., MULTIPLE, ORDERS., PEG, POST-ONLY, PRINCIPAL, RESPONSE, RESTING, ROUTE, SESSION., SIDE, SLIDING, SUBMIT, THEIR, WITH, conditional, conditional, market_peg, midpoint, post_only, primary_peg","RESPONSE, IN-BOUND, IOC, LOCKED., WITH, MARKET., PRINCIPAL, BELOW, ACCEPTS, RESTING, ROUTE, IV., MULTIPLE, SESSION., PEG, AGAINST, SLIDING, SIDE, AGGREGATE, THEIR, III., POST-ONLY, DEFAULT, ORDERS., SUBMIT"
